system:index,TCB,blue,green,ndvi,nir,presence,red,swir1,swir2,.geo
247_0,0.2586640836417675,0.09639098,0.0838688,0.050453644,0.08925091,1.0,0.080677405,0.23756969,0.14796719,
246_0,0.26199727522954347,0.09990692,0.08946727,0.048776682,0.09100888,1.0,0.08254357,0.24754956,0.12681742,
249_0,0.2513919802688062,0.098906234,0.086275876,0.03715615,0.087195426,1.0,0.08094787,0.23299897,0.120488726,
251_0,0.2748755075603724,0.09806781,0.08797976,0.09465763,0.098365314,1.0,0.08135355,0.24525067,0.17468837,
248_0,0.22223004590943457,0.09198252,0.078540795,0.009413477,0.07540349,1.0,0.07399711,0.21182215,0.08876408,
147_0,0.30677031450718645,0.10426129,0.094335504,0.10326017,0.11486321,1.0,0.093361855,0.2872527,0.16930626,
150_0,0.27973858771696686,0.10207058,0.09168502,0.06049228,0.10312536,1.0,0.09136047,0.252526,0.13982642,
143_0,0.24867635925784706,0.09739167,0.08592428,0.04091192,0.09014341,1.0,0.08305743,0.22445251,0.10985975,
146_0,0.2505319132223725,0.09614757,0.08459904,0.024516152,0.08589724,1.0,0.08178628,0.23608218,0.119271666,
144_0,0.23442086139842866,0.09852759,0.085978374,0.010683398,0.08059627,1.0,0.07889239,0.2156356,0.09260458,
145_0,0.3324237303331494,0.10674949,0.10193535,0.11613543,0.13685139,1.0,0.108372234,0.30256057,0.153187,
149_0,0.31745271687582133,0.10207058,0.09314549,0.1138527,0.12819676,1.0,0.10198944,0.29295933,0.15810934,
148_0,0.2806781623594463,0.09760804,0.08562677,0.10196282,0.11691869,1.0,0.0952821,0.2554469,0.111049764,
270_0,0.09420327695496382,0.07840557,0.05996038,-0.15089108,0.028993018,0.0,0.03929744,0.03537581,0.016714256,
269_0,0.19543680174052716,0.08789862,0.07453803,0.010921637,0.07134663,0.0,0.069805026,0.14826469,0.08965659,
268_0,0.2893666470468044,0.10382856,0.09398391,0.1065435,0.11502548,0.0,0.09287503,0.20598027,0.2057639,
379_0,0.2896320800438523,0.10572176,0.094633006,0.0022026333,0.08614065,0.0,0.08576201,0.28855088,0.18112525,
378_0,0.3052522045858205,0.108237006,0.09844645,0.0417643,0.10220581,0.0,0.09401096,0.28668472,0.18253163,
380_0,0.0807174979167059,0.07962263,0.061123345,-0.27240935,0.022502042,0.0,0.039351534,0.011007607,0.0040839,
167_0,0.27386434288918976,0.09666143,0.08400403,0.04571105,0.10023147,1.0,0.091468655,0.25861126,0.13168566,
166_0,0.2705061239778996,0.098121904,0.08630292,0.05570753,0.09917669,1.0,0.08870999,0.2559067,0.12457263,
165_0,0.2644436820879579,0.09712121,0.08427449,0.05606373,0.09679666,1.0,0.086519286,0.24995664,0.12205738,
164_0,0.28554909476414325,0.09790554,0.08608656,0.040294044,0.10334173,1.0,0.09533619,0.28368267,0.12651992,
163_0,0.2800382517978549,0.09460596,0.081272416,0.018029712,0.095444374,1.0,0.09206366,0.2933921,0.1285754,
162_0,0.2416122653886676,0.098662816,0.08668156,0.025123946,0.0838688,1.0,0.079757854,0.22669731,0.09720235,
160_0,0.3067519917726517,0.101773076,0.09211775,0.090779655,0.12430217,1.0,0.103612185,0.2841154,0.13157748,
159_0,0.27706856754347686,0.100069195,0.0889534,0.066398926,0.10772314,1.0,0.09430846,0.25731307,0.10991384,
161_0,0.256169705581665,0.09633689,0.083787665,0.04760504,0.09641802,1.0,0.08765521,0.23789424,0.10228695,
156_0,0.2010668538372964,0.08941318,0.073537335,-0.056546498,0.06723568,1.0,0.07529531,0.19499971,0.048249576,
155_0,0.24702772208228707,0.096715525,0.08319266,-0.0060006143,0.0896025,1.0,0.09068433,0.23608218,0.07551167,
153_0,0.22242417927756902,0.08868294,0.07461917,-0.09880654,0.06228631,1.0,0.07594441,0.26769865,0.05184666,
157_0,0.23122139259167018,0.09138752,0.07610668,-0.033475537,0.07964967,1.0,0.085167,0.24205928,0.054334868,
151_0,0.20647445450723168,0.08806089,0.07191459,-0.12905331,0.054118503,1.0,0.07015662,0.254906,0.03962199,
152_0,0.23239785486571493,0.08908863,0.07364552,-0.09870132,0.06569407,1.0,0.0800824,0.29090387,0.046653878,
154_0,0.22238323667533696,0.09200957,0.078838296,-0.04315397,0.072861195,1.0,0.07943331,0.22745459,0.06096107,
180_0,0.2459811910592019,0.093172535,0.081948556,0.053929135,0.092496395,1.0,0.08303039,0.24073404,0.08119128,
181_0,0.2564332077465951,0.09517392,0.083841756,0.035800245,0.093118444,1.0,0.08668156,0.25149825,0.096472114,
179_0,0.2297719570942223,0.09241526,0.07967672,-0.018187841,0.08029877,1.0,0.0832738,0.22804959,0.06261086,
183_0,0.23192696160003543,0.09073842,0.07756715,-0.017284736,0.084571995,1.0,0.08754703,0.22372228,0.06223222,
182_0,0.2288252232529223,0.09008932,0.07702623,-0.029430583,0.08205674,1.0,0.08703315,0.2219643,0.06020379,
